id,answer
1,e
2,d
3,a
4,a
5,e
6,c
7,a
8,c
9,e
10,a
11,c
12,b
13,c
14,c
15,a
16,a
17,c
18,e
19,b
20,e
21,c
22,b
23,c
24,b
25,d
26,c
27,d
28,c
29,b
30,b
31,a
32,d
33,b
34,e
35,d
36,d
37,c
38,e
39,d
40,e
41,c
42,c
43,e
44,d
45,b
46,b
47,d
48,a
49,a
50,c
51,e
52,d
53,c
54,a
55,b
56,e
57,d
58,c
59,d
60,c
61,e
62,e
63,c
64,a
65,a
66,e
67,c
68,c
69,c
70,b
71,d
72,a
73,d
74,c
75,d
76,e
77,b
78,b
79,a
80,a
81,b
82,b
83,e
84,b
85,c
86,c
87,c
88,e
89,a
90,e
91,a
92,c
93,c
94,e
95,a
96,c
97,e
98,b
99,e
100,d
101,c
102,e
103,a
104,a
105,a
106,c
107,d
108,c
109,a
110,d
111,d
112,a
113,d
114,a
115,a
116,d
117,d
118,a
119,a
120,b
121,c
122,a
123,b
124,b
125,e
126,e
127,a
128,b
129,e
130,e
131,e
132,a
133,d
134,c
135,a
136,e
137,a
138,a
139,a
140,d
141,e
142,c
143,e
144,a
145,e
146,a
147,c
148,a
149,e
150,d
151,a
152,d
153,d
154,c
155,c
156,c
157,c
158,b
159,c
160,d
161,c
162,c
163,b
164,c
165,a
166,b
167,e
168,d
169,c
170,a
171,c
172,d
173,b
174,e
175,d
176,a
177,b
178,d
179,b
180,c
181,c
182,c
183,b
184,a
185,e
186,a
187,a
188,c
189,e
190,a
191,c
192,a
193,d
194,d
195,d
196,a
197,d
198,a
199,e
200,a
201,e
202,b
203,b
204,d
205,c
206,b
207,b
208,d
209,b
210,d
211,b
212,c
213,e
214,d
215,d
216,d
217,c
218,a
219,c
220,e
221,e
222,d
223,c
224,c
225,e
226,d
227,b
228,a
229,d
230,d
231,d
232,c
233,a
234,b
235,a
236,d
237,d
238,a
239,e
240,c
241,d
242,a
243,b
244,a
245,d
246,c
247,a
248,e
249,b
250,c
251,e
252,a
253,c
254,c
255,a
256,b
257,d
258,e
259,c
260,d
261,b
262,a
263,a
264,a
265,e
266,a
267,a
268,b
269,d
270,b
271,a
272,b
273,c
274,e
275,b
276,d
277,a
278,a
279,d
280,c
281,b
282,d
283,e
284,d
285,a
286,c
287,a
288,b
289,e
290,e
291,d
292,b
293,b
294,d
295,b
296,e
297,e
298,b
299,b
300,c
301,a
302,e
303,e
304,d
305,c
306,e
307,d
308,d
309,e
310,c
311,c
312,a
313,d
314,a
315,b
316,e
317,d
318,d
319,d
320,c
321,d
322,c
323,e
324,d
325,e
326,c
327,c
328,c
329,c
330,e
331,b
332,d
333,d
334,c
335,c
336,b
337,e
338,a
339,d
340,a
341,b
342,d
343,a
344,d
345,b
346,e
347,b
348,e
349,d
350,a
351,e
352,e
353,d
354,e
355,d
356,c
357,d
358,b
359,a
360,d
361,b
362,e
363,d
364,e
365,d
366,e
367,d
368,d
369,d
370,c
371,d
372,d
373,b
374,d
375,e
376,a
377,a
378,a
379,a
380,c
381,b
382,e
383,a
384,e
385,a
386,b
387,a
388,d
389,b
390,b
391,e
392,b
393,e
394,b
395,b
396,a
397,a
398,e
399,d
400,b
401,a
402,b
403,b
404,e
405,b
406,e
407,d
408,d
409,c
410,c
411,d
412,b
413,d
414,a
415,c
416,b
417,c
418,c
419,b
420,d
421,a
422,b
423,d
424,e
425,a
426,e
427,d
428,e
429,a
430,e
431,a
432,e
433,c
434,a
435,c
436,e
437,b
438,b
439,d
440,a
441,e
442,e
443,d
444,e
445,e
446,b
447,e
448,a
449,a
450,d
451,d
452,a
453,b
454,b
455,a
456,a
457,a
458,b
459,c
460,e
461,d
462,d
463,b
464,e
465,c
466,d
467,a
468,c
469,d
470,e
471,d
472,b
473,d
474,d
475,c
476,d
477,a
478,e
479,d
480,e
481,e
482,e
483,c
484,d
485,e
486,d
487,a
488,c
489,a
490,e
491,c
492,d
493,a
494,a
495,a
496,c
497,e
498,e
499,b
500,e
501,e
502,a
503,a
504,e
505,d
506,b
507,b
508,b
509,c
510,e
511,e
512,b
513,a
514,c
515,d
516,b
517,d
518,b
519,e
520,d
521,c
522,b
523,d
524,c
525,a
526,e
527,a
528,d
529,a
530,d
531,b
532,b
533,b
534,a
535,e
536,a
537,e
538,c
539,a
540,d
541,c
542,d
543,a
544,e
545,a
546,e
547,a
548,a
549,c
550,a
551,c
552,a
553,a
554,d
555,c
556,b
557,a
558,b
559,e
560,c
561,e
562,e
563,c
564,d
565,e
566,e
567,e
568,a
569,e
570,e
571,e
572,a
573,a
574,d
575,b
576,b
577,d
578,b
579,e
580,b
581,b
582,d
583,e
584,d
585,b
586,b
587,b
588,d
589,d
590,b
591,e
592,c
593,a
594,e
595,a
596,c
597,c
598,a
599,e
600,d
601,e
602,d
603,d
604,e
605,c
606,a
607,b
608,a
609,a
610,e
611,e
612,a
613,b
614,b
615,b
616,d
617,c
618,b
619,d
620,c
621,b
622,c
623,d
624,e
625,d
626,c
627,b
628,a
629,a
630,d
631,c
632,b
633,a
634,b
635,c
636,c
637,c
638,b
639,c
640,b
641,b
642,b
643,a
644,e
645,e
646,a
647,e
648,c
649,b
650,e
651,b
652,b
653,e
654,b
655,a
656,b
657,d
658,a
659,b
660,d
661,d
662,a
663,b
664,b
665,a
666,c
667,e
668,a
669,d
670,b
671,e
672,a
673,a
674,d
675,c
676,a
677,e
678,e
679,d
680,c
681,b
682,d
683,b
684,c
685,b
686,c
687,e
688,a
689,b
690,c
691,b
692,d
693,e
694,a
695,d
696,d
697,c
698,c
699,a
700,d
701,a
702,d
703,d
704,c
705,a
706,d
707,c
708,e
709,c
710,d
711,c
712,a
713,a
714,b
715,e
716,d
717,e
718,c
719,c
720,d
721,d
722,a
723,d
724,e
725,c
726,d
727,e
728,e
729,e
730,a
731,c
732,b
733,e
734,d
735,b
736,a
737,b
738,a
739,e
740,a
741,b
742,a
743,b
744,d
745,d
746,e
747,c
748,e
749,d
750,e
751,a
752,a
753,b
754,c
755,a
756,d
757,d
758,c
759,a
760,c
761,b
762,d
763,a
764,b
765,d
766,a
767,d
768,b
769,e
770,c
771,d
772,a
773,b
774,b
775,e
776,a
777,e
778,e
779,b
780,d
781,c
782,e
783,a
784,b
785,c
786,c
787,b
788,d
789,c
790,a
791,c
792,c
793,b
794,e
795,b
796,b
797,a
798,a
799,d
800,a
801,d
802,d
803,a
804,e
805,e
806,b
807,a
808,c
809,e
810,e
811,e
812,d
813,e
814,c
815,a
816,d
817,c
818,d
819,d
820,a
821,d
822,d
823,b
824,c
825,d
826,b
827,a
828,c
829,b
830,e
831,e
832,b
833,a
834,b
835,e
836,e
837,b
838,c
839,a
840,a
841,c
842,a
843,a
844,a
845,a
846,c
847,d
848,b
849,d
850,d
851,d
852,e
853,e
854,b
855,b
856,c
857,b
858,a
859,c
860,b
861,a
862,b
863,e
864,a
865,c
866,a
867,a
868,e
869,b
870,d
871,d
872,c
873,b
874,b
875,e
876,a
877,e
878,e
879,d
880,e
881,c
882,e
883,e
884,c
885,a
886,e
887,d
888,c
889,d
890,b
891,b
892,e
893,d
894,d
895,a
896,a
897,b
898,b
899,c
900,c
901,b
902,a
903,c
904,b
905,d
906,d
907,b
908,e
909,a
910,a
911,a
912,d
913,a
914,c
915,c
916,d
917,a
918,b
919,d
920,b
921,e
922,e
923,c
924,c
925,e
926,d
927,e
928,c
929,b
930,c
931,e
932,b
933,d
934,e
935,a
936,a
937,e
938,b
939,e
940,c
941,c
942,d
943,c
944,d
945,a
946,e
947,e
948,d
949,a
950,e
951,b
952,a
953,c
954,c
955,a
956,e
957,b
958,b
959,d
960,a
961,e
962,c
963,a
964,b
965,d
966,d
967,a
968,b
969,a
970,e
971,d
972,d
973,b
974,e
975,e
976,a
977,c
978,d
979,c
980,d
981,e
982,c
983,b
984,a
985,e
986,e
987,c
988,b
989,d
990,b
991,b
992,d
993,b
994,d
995,c
996,d
997,c
998,a
999,a
1000,e
1001,a
1002,e
1003,b
1004,c
1005,d
1006,c
1007,c
1008,a
1009,c
1010,a
1011,a
1012,b
1013,a
1014,d
1015,a
1016,b
1017,e
1018,e
1019,b
1020,c
1021,d
1022,b
1023,d
1024,a
1025,b
1026,c
1027,e
1028,a
1029,b
1030,c
1031,e
1032,e
1033,e
1034,b
1035,a
1036,b
1037,b
1038,e
1039,d
1040,a
